Date,Location of Dumpster,Frequency of Waste Collection (days),Volume of Waste Collected (Tonnes),Volume of Waste Collected (Kg),Types of Waste,Operational Schedule
2023-01-01,Owode ede,1,0.03520027676607123,30.92304509852999,MSW,Sunday
2023-01-01,Abere,1,0.039562336067865904,20.193367645233344,MSW,Sunday
2023-01-01,Old Garage,1,0.017503653119291265,22.790852603565313,MSW,Sunday
2023-01-01,Alekuwodo,1,0.03255391106955895,34.13374533514165,MSW,Sunday
2023-01-01,Odi olowo,1,0.028375408589410192,24.071272226205423,MSW,Sunday
2023-01-01,Ilesha Garage,1,0.03505762786246778,26.587927689534215,MSW,Sunday
2023-01-01,Ilesha Road,1,0.01863149336849288,22.675759645088586,MSW,Sunday
2023-01-01,Oja Oba,1,0.027849350519378938,12.56680862220048,MSW,Sunday
2023-01-01,Station Road,1,0.01226407578120307,23.538407956875275,MSW,Sunday
2023-01-01,Dada Estate,1,0.010218253813934713,21.35973614567103,MSW,Sunday
2023-01-01,Dele Yes Sir,1,0.03252200660227658,20.559281392270638,MSW,Sunday
2023-01-01,West Byebass,1,0.025440012440967667,38.33558021764477,MSW,Sunday
2023-01-01,Testing Ground,1,0.027010133315100937,18.65626421218539,MSW,Sunday
2023-01-01,Stadium,1,0.012542737331730452,28.10494427204493,MSW,Sunday
2023-01-01,Power Line,1,0.028901410930389372,26.26261538963864,MSW,Sunday
2023-01-01,Kobo,1,0.034944755482736574,19.189982840782704,MSW,Sunday
2023-01-01,Ota Efun,1,0.011996519017175002,32.19816677990032,MSW,Sunday
2023-01-01,Aregbe,1,0.033117566175895195,22.347499717989805,MSW,Sunday
2023-01-01,Igbona,1,0.03205020751562929,30.231806217513125,MSW,Sunday
2023-01-01,MDS,1,0.013250856719285217,25.155092199377144,MSW,Sunday
2023-01-02,Owode ede,1,0.027352460741739977,32.845831191820636,MSW,Monday
2023-01-02,Abere,1,0.027079838463215954,24.127259023919134,MSW,Monday
2023-01-02,Old Garage,1,0.03786861805355198,16.099760644868137,MSW,Monday
2023-01-02,Alekuwodo,1,0.037562354010646774,18.390230254409587,MSW,Monday
2023-01-02,Odi olowo,1,0.03506405105997219,31.207036732650444,MSW,Monday
2023-01-02,Ilesha Garage,1,0.02446667077394173,22.122003155161575,MSW,Monday
2023-01-02,Ilesha Road,1,0.01620725052005512,25.560466175786196,MSW,Monday
2023-01-02,Oja Oba,1,0.010361282706587224,27.44107811528057,MSW,Monday
2023-01-02,Station Road,1,0.014521214267738596,18.98847591658583,MSW,Monday
2023-01-02,Dada Estate,1,0.03655000133872905,20.789443464115866,MSW,Monday
2023-01-02,Dele Yes Sir,1,0.01647868351795988,20.029278540945718,MSW,Monday
2023-01-02,West Byebass,1,0.01528749704999216,31.894582051047493,MSW,Monday
2023-01-02,Testing Ground,1,0.02637833021120859,17.506575565832996,MSW,Monday
2023-01-02,Stadium,1,0.010407754137758646,19.74978769778295,MSW,Monday
2023-01-02,Power Line,1,0.01105336372234114,24.6352793012991,MSW,Monday
2023-01-02,Kobo,1,0.02437641298215089,39.16597129587262,MSW,Monday
2023-01-02,Ota Efun,1,0.039309692299088095,29.505376571707004,MSW,Monday
2023-01-02,Aregbe,1,0.0197880902084748,34.56743654395356,MSW,Monday
2023-01-02,Igbona,1,0.0343179365828338,22.47950988659752,MSW,Monday
2023-01-02,MDS,1,0.036104058735481025,38.57847615652925,MSW,Monday
2023-01-03,Owode ede,1,0.013074457386999676,36.07436818690734,MSW,Tuesday
2023-01-03,Abere,1,0.025972681351480773,11.588760139363712,MSW,Tuesday
2023-01-03,Old Garage,1,0.013504621821506496,12.434291986586405,MSW,Tuesday
2023-01-03,Alekuwodo,1,0.01674852854586538,25.824577059557818,MSW,Tuesday
2023-01-03,Odi olowo,1,0.018310329220550807,27.038178126164432,MSW,Tuesday
2023-01-03,Ilesha Garage,1,0.012779210701024946,21.968171669584144,MSW,Tuesday
2023-01-03,Ilesha Road,1,0.018203583279354965,29.93757715911083,MSW,Tuesday
2023-01-03,Oja Oba,1,0.03433624159517065,38.04101199488606,MSW,Tuesday
2023-01-03,Station Road,1,0.011816349925006239,16.433763370450276,MSW,Tuesday
2023-01-03,Dada Estate,1,0.03880627314727565,17.613948155169503,MSW,Tuesday
2023-01-03,Dele Yes Sir,1,0.03804946629711848,24.678060068393926,MSW,Tuesday
2023-01-03,West Byebass,1,0.018149145987799986,14.025872125660257,MSW,Tuesday
2023-01-03,Testing Ground,1,0.02733380058312273,32.767156949438146,MSW,Tuesday
2023-01-03,Stadium,1,0.03501634011701232,24.647465983198973,MSW,Tuesday
2023-01-03,Power Line,1,0.013011800968565001,23.096412062943124,MSW,Tuesday
2023-01-03,Kobo,1,0.014685683287936967,14.997920555367523,MSW,Tuesday
2023-01-03,Ota Efun,1,0.03489041165306982,19.98800100508946,MSW,Tuesday
2023-01-03,Aregbe,1,0.027390366887026854,13.785323153779002,MSW,Tuesday
2023-01-03,Igbona,1,0.018609119389875264,15.962376942228325,MSW,Tuesday
2023-01-03,MDS,1,0.025047808939520976,13.906220931307331,MSW,Tuesday
2023-01-04,Owode ede,1,0.037757161316816494,14.214883231606002,MSW,Wednesday
2023-01-04,Abere,1,0.032169868237837074,28.24048270317329,MSW,Wednesday
2023-01-04,Old Garage,1,0.03642987314213289,21.103958629738443,MSW,Wednesday
2023-01-04,Alekuwodo,1,0.013766317754004973,12.943438267320188,MSW,Wednesday
2023-01-04,Odi olowo,1,0.03162911786217354,33.95329824012843,MSW,Wednesday
